sample	fws
PT0138C	0.362
PT0139C	0.583
PT0140C	0.349
PT0143C	0.923
PT0144C	0.771
PT0146C	0.988
PT0147C	0.723
PT0149C	0.993
PT0150C	0.459
PT0152C	0.486
PT0154C	0.654
PT0154Cx	0.654
PT0155C	0.651
PT0157C	0.863
PT0160C	0.635
PT0161C	0.484
PT0165C	0.987
PT0168C	0.989
PT0169C	0.988
PT0170C	0.989
PT0174C	0.995
PT0175C	0.861
PT0176C	0.987
PT0177C	0.988
PT0178C	0.95
PT0180C	0.597
PT0182C	0.563
PT0183C	0.98
PT0187C	0.98
PT0187Cx	0.98
PT0188C	0.807
PT0188Cx	0.807
PT0189C	0.986
PT0189Cx	0.986
PT0190C	0.225
PT0192Cx	0.844
PT0193C	0.316
PT0196Cx	0.862
PT0197Cx	0.987
PT0198Cx	0.729
PT0199C	0.993
PT0199Cx	0.993
PT0200C	0.993
PT0201C	0.63
PT0201Cx	0.63
PT0202Cx	0.536
PT0203C	0.326
PT0203Cx	0.326
PT0204C	0.966
PT0204Cx	0.966
PT0205C	0.36
PT0206C	0.983
PT0206Cx	0.983
PT0207Cx	0.675
PT0208C	0.671
PT0208Cx	0.671
PT0209C	0.645
PT0209Cx	0.645
PT0210C	0.452
PT0210Cx	0.452
PT0211Cx	0.519
PT0212C	0.539
PT0212Cx	0.539
PT0213C	0.971
PT0214Cx	0.991
PT0215C	0.993
PT0216C	0.67
PT0216Cx	0.67
PT0217C	0.975
PT0218Cx	0.985
PT0219C	0.984
PT0219Cx	0.984
PT0220C	0.99
PT0220Cx	0.99
PT0221C	0.601
PT0221Cx	0.601
PT0222C	0.994
PT0222Cx	0.994
PT0223Cx	0.613
PT0224C	0.985
PT0226Cx	0.987
PT0227C	0.729
PT0230C	0.995
PT0230Cx	0.995
PT0231C	0.213
PT0232C	0.776
PT0233C	0.569
PT0233Cx	0.569
PT0234C	0.987
PT0234Cx	0.987
PT0235Cx	0.397
PT0236C	0.407
PT0237C	0.798
PT0237Cx	0.798
PT0238C	0.865
PT0238Cx	0.865
PT0239Cx	0.91
PT0240Cx	0.995
PT0241Cx	0.668
PT0242C	0.993
PT0242Cx	0.993
PT0243C	0.502
PT0243Cx	0.502
PT0244C	0.699
PT0247C	0.387
PT0248C	0.984
PT0248Cx	0.984
PT0249C	0.671
PT0249Cx	0.671
PT0250C	0.442
PT0250Cx	0.442
PT0252C	0.536
PT0252Cx	0.536
PT0253Cx	0.979
PT0255C	0.985
PT0255Cx	0.985
PT0256C	0.99
PT0256Cx	0.99
PT0257C	0.319
PT0258C	0.99
PT0258Cx	0.99
PT0260C	0.658
PT0261Cx	0.959
PT0262C	0.993
PT0262Cx	0.993
PT0263Cx	0.99
PT0264C	0.99
PT0264Cx	0.99
PT0269C	0.988
PT0270C	0.994
PT0270Cx	0.994
PT0271C	0.779
PT0271Cx	0.779
PT0273C	0.329
PT0274C	0.822
PT0274Cx	0.822
PT0275C	0.589
PT0276C	0.381
PT0276Cx	0.381
PT0277C	0.641
PT0279C	0.617
PT0279Cx	0.617
PT0280C	0.653
PT0280Cx	0.653
PT0281C	0.986
PT0284C	0.973
PT0285C	0.425
PT0286C	0.987
PT0290C	0.699
PT0291C	0.94
PT0292C	0.887
PT0292Cx	0.887
PT0295C	0.715
PT0296C	0.371
PT0297C	0.613
PT0298C	0.645
PT0298Cx	0.645
PT0300Cx	0.345
PT0301C	0.641
PT0301Cx	0.641
PT0302Cx	0.987
PT0303C	0.977
PT0303Cx	0.977
PT0304C	0.811
PT0304Cx	0.811
PU1	0.805
PU10	0.735
PU11	0.762
PU12	0.574
PU13	0.707
PU14	0.44
PU15	0.448
PU16	0.67
PU17	0.743
PU18	0.641
PU19	0.783
PU2	0.553
PU20	0.989
PU22	0.762
PU23	0.922
PU24	0.831
PU25	0.373
PU26	0.592
PU28	0.468
PU3	0.832
PU4	0.474
PU5	0.549
PU6	0.803
PU7	0.809
PU8	0.685
PU9	0.388
QG0182C	0.865
QG0183C	0.601
QG0184C	0.99
QG0185C	0.663
QG0186C	0.989
QG0187C	0.981
QG0188C	0.889
QG0189C	0.575
QG0190C	0.898
QG0191C	0.568
QG0192C	0.622
QG0193C	0.54
QG0194C	0.795
QG0195C	0.987
QG0196C	0.903
QG0197C	0.562
QG0198C	0.572
QG0200C	0.984
QG0201C	0.986
QG0202C	0.989
QG0203C	0.712
QG0204C	0.96
QG0205C	0.991
QG0206C	0.736
QG0207C	0.796
QG0208C	0.97
QG0209C	0.993
QG0210C	0.995
QG0211C	0.972
QG0212C	0.672
QG0213C	0.65
QG0214C	0.665
QG0215C	0.884
QG0216C	0.993
QG0217C	0.544
QG0218C	0.932
QG0219C	0.972
QG0220C	0.96
QG0221C	0.726
QG0223C	0.993
QG0224C	0.759
QG0225C	0.995
QG0226C	0.746
QG0228C	0.992
QG0229C	0.707
QG0230C	0.638
QG0231C	0.686
